Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Ca_Si_Ratio
-89.17559769167354,-88.76339653751032,-180.0,-157.0791552879981,0.09965416828863552
-89.17559769167354,-88.76339653751032,-157.0791552879981,-134.1583105759962,0.09965416828863552
-89.17559769167354,-88.76339653751032,-134.1583105759962,-111.23746586399432,0.11851736140450575
-88.76339653751032,-88.35119538334709,-163.62712063872507,-147.25424127745015,0.09965416828863552
-88.76339653751032,-88.35119538334709,-147.25424127745015,-130.88136191617522,0.11851736140450575
-88.76339653751032,-88.35119538334709,-130.88136191617522,-114.5084825549003,0.11851736140450575
-88.35119538334709,-87.93899422918386,-167.2646593900547,-154.5293187801094,0.09965416828863552
-88.35119538334709,-87.93899422918386,-154.5293187801094,-141.7939781701641,0.09965416828863552
-88.35119538334709,-87.93899422918386,-141.7939781701641,-129.0586375602188,0.11851736140450575
-88.35119538334709,-87.93899422918386,-129.0586375602188,-116.32329695027352,0.11851736140450575
-87.93899422918386,-87.52679307502063,-169.57927690772112,-159.15855381544225,0.08079097517276529
-87.93899422918386,-87.52679307502063,-159.15855381544225,-148.73783072316337,0.09965416828863552
-87.93899422918386,-87.52679307502063,-148.73783072316337,-138.3171076308845,0.11851736140450575
-87.93899422918386,-87.52679307502063,-138.3171076308845,-127.89638453860562,0.11851736140450575
-87.93899422918386,-87.52679307502063,-127.89638453860562,-117.47566144632674,0.11851736140450575
-87.93899422918386,-87.52679307502063,-117.47566144632674,-107.05493835404786,0.11851736140450575
-87.52679307502063,-87.1145919208574,-171.1815521675064,-162.3631043350128,0.08079097517276529
-87.52679307502063,-87.1145919208574,-162.3631043350128,-153.5446565025192,0.09965416828863552
-87.52679307502063,-87.1145919208574,-153.5446565025192,-144.72620867002558,0.09965416828863552
-87.52679307502063,-87.1145919208574,-144.72620867002558,-135.90776083753198,0.11851736140450575
-87.52679307502063,-87.1145919208574,-135.90776083753198,-127.08931300503838,0.11851736140450575
